,Year,Wind Onshore,Wind Offshore,Solar,Hydro,Hydrogen,Biomass,BECCS,Nuclear,CCGT,Coal,OCGT
0,2010,15434159710.633347,5177022975.7358,95599570.14057587,4564020392.0,632121600.0,0.0,71999053200.0,0.0,183847605382.28915,71780354029.86342,18842380.54081939
1,2011,16522373379.663088,5885717740.383201,1378873079.2347922,4564020392.0,632121600.0,0.0,71999053200.0,0.0,181984012124.0604,62638194103.97374,6472922.5811927095
2,2012,21535978746.485287,10342465971.657104,2662146588.3290086,4724273917.0,8340921600.0,0.0,71999053200.0,0.0,176276916421.98996,48028084130.29781,797521.874974072
3,2013,23033902226.668964,17962474828.931988,3945420097.423225,4884527442.0,12195321600.0,0.0,71999053200.0,0.0,178894298223.68854,30422456082.09208,0.0
4,2014,24531825706.852657,21783868167.71698,5228693606.517441,5044780967.0,12195321600.0,0.0,71999053200.0,0.0,183315948832.21405,22677068001.48001,0.0
5,2015,26029749187.036354,21783868167.71698,6511967115.611657,5205034492.0,16049721600.0,0.0,71999053200.0,0.0,177186179670.87482,17998695870.735588,0.0
6,2016,27527672667.22006,25643857579.223717,7795240624.7058735,5365288017.0,19904121600.0,0.0,71999053200.0,0.0,167310932642.31995,12632627798.870693,0.0
7,2017,28870255934.64397,25643857579.223717,9078514133.80009,5525541542.0,23758521600.0,0.0,71999053200.0,0.0,166657419898.22256,8365183431.938141,0.0
8,2018,30265543917.111378,25643857579.223717,10361787642.894306,5685795067.0,31467321600.0,0.0,71998941436.54607,0.0,160500403393.96384,5697943856.470615,0.0
9,2019,31677475493.80306,29503846990.730453,11645061151.988522,5551182106.0,35321721600.0,0.0,71990593191.64145,0.0,146974087446.77927,4390815794.022936,0.0
10,2020,33103276732.348286,29503846990.730453,12928334661.082737,5118497588.5,39176121600.0,0.0,71969890003.50525,0.0,135219496832.67928,3788597907.244558,0.0
11,2021,34376511690.50441,29503846990.730453,14211608170.176952,4621711661.0,46884921600.0,0.0,71915495674.7052,0.0,123815635601.50735,2216224611.7559834,0.0
12,2022,35724642822.66971,39429534048.890594,15494881679.271168,4278769117.5,50739321600.0,0.0,71626243571.10573,0.0,106162043259.33965,1693646904.4674525,0.0
13,2023,37222566302.85339,39414094075.804596,16778155188.365383,3951851926.5,54592576737.50037,0.0,71494199560.9849,0.0,99765610111.89893,697460183.9512813,1011146.7239688598
14,2024,38085259270.14437,39414094075.804596,18061428697.4596,3685831075.0,62283237463.52739,0.0,71278801248.77368,0.0,90088129975.89247,550918465.3475852,130125325.2685754
15,2025,38512444855.233795,49339781133.964745,19344702206.553814,3003151058.5,65785931173.257744,3748518297.3692875,70549107990.86331,0.0,74092424549.2017,181911857.13515067,128194945.33206005
16,2026,38512444855.23379,49108181537.67474,20627975715.64803,2977510494.5,69468404555.44339,3717058419.852913,70315858518.70583,0.0,68120618333.06034,0.0,441702507.87800395
17,2027,38298852062.68908,48876581941.38474,21911249224.742245,3131353878.5,75091092813.79767,3694712787.7644067,76878842630.078,0.0,59565836805.14533,0.0,207693657.50259936
18,2028,38021458825.61802,58454869605.109886,23194522733.83646,3195455288.5,76002824062.32516,7132314912.232388,73164687996.0606,0.0,53715766717.076195,0.0,146273615.17499274
19,2029,37508281337.03658,58107470210.67489,24477796242.930676,3227505993.5,79712952333.88232,10607224461.134216,72838864885.0394,0.0,49415900707.02224,0.0,108970177.74529791
20,2030,36368195132.674545,54247476939.174904,25761069752.02489,3227505993.5,80453620841.76965,10858739624.362392,73304313966.6624,0.0,54935566313.66795,0.0,157609512.02382433
21,2031,35730190687.41112,65827445173.69507,27044343261.119106,3227505993.5,81148932689.75204,13931491880.297876,72562533751.93732,0.0,49587225658.99919,0.0,152452222.0584344
22,2032,34265554395.675972,64731207084.589066,28327616770.21332,3259556698.5,83574476682.88846,14121624291.991755,66350132917.87271,0.0,58299648322.94341,0.0,240412186.26658076
23,2033,23755124643.053844,64036408295.71906,29610890279.307537,3291607403.5,87800624511.01503,18220246827.637024,66807984499.093346,0.0,63871298749.49954,0.0,260012893.83005014
24,2034,23558175444.7334,73962095353.87923,29610890279.307537,3451860928.5,88931645821.96057,17760706031.519897,66429832755.30928,0.0,61554579241.25446,0.0,220040376.65380558
25,2035,23161503115.721798,71788147143.37042,30894163788.401752,3612114453.5,92982202533.95184,21340552595.965176,66366205686.67858,147651.375,60607168081.86056,0.0,124722496.74964997
26,2036,22156507417.81338,67219462967.21627,32177437297.495968,3772367978.5,97245006701.70084,25136951951.290115,66435888931.76416,148208.55,60933872350.94693,0.0,91456337.09611824
27,2037,18307953646.689598,76853994592.90047,33460710806.590183,3932621503.5,100278690721.30673,27863136193.12824,54431682512.92589,148111.65000000005,62668822495.132416,0.0,61983542.44773165
28,2038,16893248137.627235,76145299828.25307,33460710806.590183,4092875028.5,95147149648.74286,28532564526.54744,54801387908.594894,157050.67500000002,70162128265.51344,0.0,61863305.35180874
29,2039,15395324657.443531,71706311426.0213,33460710806.590183,4253128553.5,93822454895.81473,29254671969.43733,55187096999.602165,165917.02500000005,77974284078.3963,0.0,159118312.02385938
30,2040,15395324657.443531,83286279660.54152,33460710806.590183,4413382078.5,96732327090.57411,31714425767.875355,54607320800.6805,153198.90000000005,68874569712.80588,0.0,167437025.24971092
31,2041,15395324657.443531,83286279660.54152,33460710806.590183,4573635603.5,96916974185.2822,35357783441.26661,54617635663.75484,153271.575,69528434864.98315,0.0,86328965.82218304
32,2042,15395324657.443531,79426290249.03477,33460710806.590183,4733889128.5,97416710845.4637,39495127795.908585,54797572498.296455,157438.27500000005,72893517843.69864,0.0,42348359.47598462
33,2043,15395324657.443531,89351977307.19496,33460710806.590183,4894142653.5,96663958656.55049,41924553859.72931,54368716808.06529,148571.92500000002,67279121973.577545,0.0,41058043.03612171
34,2044,15395324657.443531,89351977307.19496,33460710806.590183,4910168006.0,93161016890.56708,45869431748.679726,47523562059.21874,156614.625,75551465086.22316,0.0,91684987.58209474
35,2045,15395324657.443531,79426290249.03477,33460710806.590183,5070421531.0,93949725819.77036,50808366092.02381,31867683056.54357,0.0,94599598959.91333,0.0,231125972.0624612
36,2046,15395324657.443531,89351977307.19496,33460710806.590183,5230675056.0,93375790888.57816,53058540299.64627,31632831033.157192,0.0,87473275398.79326,0.0,206978266.2241712
37,2047,15395324657.443531,89351977307.19496,33460710806.590183,5368493087.5,89742810037.75272,56985902878.33334,31674317595.242096,0.0,89676997267.03195,0.0,237352815.64292544
38,2048,15728196541.928799,85640879416.14977,33460710806.590183,5640924080.0,90021018477.51654,61086813547.51068,31726094096.955612,0.0,91007987462.51187,0.0,238923970.6319397
39,2049,16393940310.899334,90774670467.24477,33460710806.590183,5801177605.0,89707953891.67401,63665472026.73081,15011273927.158813,0.0,99470263577.27211,0.0,417531037.15939707
40,2050,17309337993.233818,95908461518.33977,33460710806.590183,5621693657.0,85622065031.91345,66516219856.17625,14966447203.218857,0.0,97338401657.28308,0.0,430879243.3185324
